;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
442;ba maetinga;MAETINGA;BA;2919959;39756;
443;ba maiquinique;MAIQUINIQUE;BA;2920007;37010;
444;ba mairi;MAIRI;BA;2920106;37036;
445;ba malhada;MALHADA;BA;2920205;37052;
446;ba malhada de pedras;MALHADA DE PEDRAS;BA;2920304;37079;
447;ba manoel vitorino;MANOEL VITORINO;BA;2920403;37095;
448;ba mansidao;MANSIDÃO;BA;2920452;39772;
449;ba maracas;MARACÁS;BA;2920502;37117;
450;ba maragogipe;MARAGOGIPE;BA;2920601;37133;
451;ba marau;MARAÚ;BA;2920700;37150;
452;ba marcionilio souza;MARCIONÍLIO SOUZA;BA;2920809;37176;
